,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
51269,INTERNATIONAL EXTRUSION TEXAS,12,3.0,http://echo.epa.gov/detailed-facility-report?fid=110005069889,32.429204,-96.85239
78115,HOME DEPOT USA HD0541,10,,http://echo.epa.gov/detailed-facility-report?fid=110033720123,32.67163,-97.13442
110062,ANALYTICAL FOOD LABORATORIES,7,,http://echo.epa.gov/detailed-facility-report?fid=110033308016,32.772313,-97.055774
57030,ASC DALLAS,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005191201,32.795948,-97.0398
74400,CHEMICAL RECLAMATION SERVICES AVALON FACILITY,6,,http://echo.epa.gov/detailed-facility-report?fid=110000619475,32.21182,-96.79158
109523,PRO LINE PRINTING ARLINGTON,6,,http://echo.epa.gov/detailed-facility-report?fid=110005191103,32.74623,-97.04592
65830,ENNIS FLINT NORTH,4,,http://echo.epa.gov/detailed-facility-report?fid=110064333582,32.360820000000004,-96.64176
95023,TEXSTARS,4,,http://echo.epa.gov/detailed-facility-report?fid=110000456426,32.765609999999995,-97.05536
49159,MARTIN SPROCKET & GEAR ARLINGTON,3,1.0,http://echo.epa.gov/detailed-facility-report?fid=110005036246,32.694825,-97.141899
11417,MARTIN SPROCKET AND GEAR,3,,http://echo.epa.gov/detailed-facility-report?fid=110005051415,32.55196,-97.14574
25306,A ZAHNER COMPANY,3,,http://echo.epa.gov/detailed-facility-report?fid=110043421302,32.70299,-97.05246
37694,BASF PALMER LOGISTICS,3,,http://echo.epa.gov/detailed-facility-report?fid=110005189571,32.79565,-97.05419
2659,THE CLEANING GUYS,2,,http://echo.epa.gov/detailed-facility-report?fid=110041683050,32.60351,-97.22316
33849,UNITED STATES ALUMINUM,2,,http://echo.epa.gov/detailed-facility-report?fid=110009258212,32.429178,-96.8524
66053,AZZ GALVANIZING KENNEDALE,2,,http://echo.epa.gov/detailed-facility-report?fid=110005182836,32.663295,-97.233002
73775,GENERAL MAGNAPLATE TEXAS,2,,http://echo.epa.gov/detailed-facility-report?fid=110005176889,32.760242,-97.054416
74063,PENCCO BARDWELL,2,,http://echo.epa.gov/detailed-facility-report?fid=110034488187,32.2539,-96.72037
97111,UPS ARLINGTON HUB,2,,http://echo.epa.gov/detailed-facility-report?fid=110070633587,32.672771000000004,-97.070955
97729,AEROSPACE TECHNOLOGIES,2,,http://echo.epa.gov/detailed-facility-report?fid=110000459637,32.7288,-97.19526
109455,GERDAU AMERISTEEL - MIDLOTHIAN PLANT,2,,http://echo.epa.gov/detailed-facility-report?fid=110000459183,32.458249,-97.036607
