YEAR,Total
2001,106
2002,49
2003,48
2004,48
2005,51
2006,56
2007,52
2008,52
2009,52
2010,54
2011,655
2012,555
2013,751
2014,760
2015,617
2016,687
2017,2153
2018,6664
2019,12942
2020,13782
2021,8
