YEAR,Total
2001,7183
2002,6309
2003,7158
2004,7282
2005,6882
2006,7450
2007,9877
2008,14752
2009,16017
2010,14375
2011,15484
2012,13953
2013,13292
2014,14512
2015,15064
2016,15622
2017,17052
2018,18608
2019,19454
2020,16733
2021,42
