Year,Violations
2001,189
2002,276
2003,305
2004,314
2005,320
2006,379
2007,346
2008,356
2009,221
2010,205
2011,182
2012,160
2013,198
2014,166
2015,158
2016,113
2017,114
2018,144
2019,207
2020,135
