YEAR,Total
2001,392
2002,345
2003,465
2004,449
2005,670
2006,845
2007,1377
2008,1358
2009,1474
2010,1717
2011,1304
2012,1256
2013,1112
2014,1173
2015,982
2016,956
2017,692
2018,770
2019,965
2020,553
