YEAR,Total
2001,0
2002,1
2003,0
2004,3
2005,3
2006,0
2007,3
2008,2
2009,0
2010,2
2011,0
2012,4
2013,13
2014,1
2015,4
2016,3
2017,9
2018,64
2019,173
2020,176
