YEAR,Total
2001,134
2002,184
2003,226
2004,114
2005,51
2006,48
2007,71
2008,75
2009,78
2010,130
2011,128
2012,110
2013,96
2014,157
2015,152
2016,185
2017,150
2018,211
2019,257
2020,153
