Date,Count
2001,160
2002,204
2003,160
2004,236
2005,191
2006,199
2007,189
2008,197
2009,227
2010,198
2011,243
2012,202
2013,270
2014,205
2015,288
2016,278
2017,240
2018,336
2019,296
2020,67
