Year,Violations
2001,107
2002,106
2003,331
2004,508
2005,600
2006,546
2007,503
2008,624
2009,567
2010,470
2011,503
2012,668
2013,373
2014,328
2015,373
2016,379
2017,315
2018,364
2019,430
2020,255
