YEAR,Total
2001,12
2002,12
2003,28
2004,49
2005,2
2006,4
2007,3
2008,5
2009,2
2010,2
2011,22
2012,3
2013,2
2014,7
2015,4
2016,20
2017,59
2018,56
2019,54
2020,119
