Date,Count
2001,2
2002,6
2003,17
2004,19
2005,11
2006,20
2007,13
2008,20
2009,16
2010,9
2011,12
2012,12
2013,6
2014,7
2015,22
2016,14
2017,8
2018,17
2019,11
2020,6
