Year,Violations
2001,391
2002,366
2003,343
2004,325
2005,337
2006,389
2007,374
2008,422
2009,473
2010,623
2011,578
2012,572
2013,953
2014,1111
2015,1218
2016,1210
2017,1513
2018,1647
2019,1577
2020,1104
