YEAR,Total
2001,250
2002,214
2003,275
2004,212
2005,241
2006,309
2007,524
2008,363
2009,300
2010,166
2011,229
2012,164
2013,114
2014,172
2015,171
2016,212
2017,254
2018,248
2019,363
2020,267
2021,1
