YEAR,Total
2001,202
2002,216
2003,223
2004,271
2005,307
2006,289
2007,278
2008,478
2009,322
2010,314
2011,315
2012,290
2013,332
2014,368
2015,422
2016,692
2017,693
2018,827
2019,789
2020,436
