Date,Count
2001,7
2002,2
2003,7
2004,8
2005,1
2006,1
2007,6
2008,1
2009,1
2010,3
2011,3
2012,3
2013,6
2014,2
2015,3
2016,1
2017,18
2018,63
2019,36
2020,3
