,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
20794,BIG SPRING REFINERY,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110013314323,32.269104,-101.417673
102392,SALT CREEK GAS PLANT,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007197158,33.16631,-100.75302
2916,HOWARD BOOSTER TREATER,12,,http://echo.epa.gov/detailed-facility-report?fid=110007202071,32.303612,-101.441109
39931,CARGILL MEAT SOLUTIONS PLAINVIEW,12,,http://echo.epa.gov/detailed-facility-report?fid=110028252931,34.254166,-101.711666
45769,SID RICHARDSON CARBON CO,12,,http://echo.epa.gov/detailed-facility-report?fid=110000607102,32.273133,-101.405326
70928,BOOSTER STATION 168,12,,http://echo.epa.gov/detailed-facility-report?fid=110007395425,33.880847,-103.007839
68749,LONE STAR INDUSTRIES DBA BUZZI UNICEM USA - MARYNEAL CEMENT PLANT,7,,http://echo.epa.gov/detailed-facility-report?fid=110008149672,32.25,-100.458333
21199,SOUTHERN COTTON OIL CO,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110002401080,33.5488,-101.80755
27708,SEMINOLE GAS PROCESSING PLANT,3,,http://echo.epa.gov/detailed-facility-report?fid=110033349552,32.7578,-102.681
34530,AZTECA MILLING PLAINVIEW PLANT,2,3.0,http://echo.epa.gov/detailed-facility-report?fid=110007180610,34.124769,-101.750108
41984,SLAUGHTER GASOLINE PLANT,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007199879,33.464721999999995,-102.554994
29311,EAST VEALMOOR GAS PLANT,1,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000503928,32.494444,-101.35222
17546,FIBERGLASS PULTRUSION FACILITY,1,,http://echo.epa.gov/detailed-facility-report?fid=110063967550,32.254155,-101.429686
19651,RUSSELL COMPRESSOR STN,1,,http://echo.epa.gov/detailed-facility-report?fid=110040992478,32.876670000000004,-102.90638
93628,WASSON CO2 REMOVAL PLANT,1,,http://echo.epa.gov/detailed-facility-report?fid=110012182422,33.0108,-102.75033
46236,SLAUGHTER PUMP STATION,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007207502,33.403061,-102.750282
50042,HAMLIN GAS PLANT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007177526,32.867026,-100.265802
77218,OLTON PUMP STATION,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007207646,34.162796,-102.289174
86680,COLORADO CITY STATION,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007202614,32.52943,-100.82643
1039,VEALMOOR COMPRESSOR STATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110007204140,32.513062,-101.523331
