Date,Sum_District,Sum_State
2010,13992880.52600001,392618781.51064694
2011,15260232.930000009,454399386.5906877
2012,15798364.246999992,442949754.5115475
2013,15441974.36800001,459158642.17809796
2014,13662574.085167002,463001112.7290405
2015,13051789.799576001,452140104.0811646
2016,15331575.197166996,480400508.38756
2017,14519159.700758,479064156.95789254
2018,16028471.862955006,492029365.3983209
