YEAR,Total
2001,0
2002,0
2003,0
2004,9
2005,46
2006,67
2007,89
2008,161
2009,176
2010,161
2011,33
2012,70
2013,234
2014,161
2015,167
2016,171
2017,214
2018,269
2019,331
2020,196
