YEAR,Total
2001,19
2002,49
2003,33
2004,23
2005,53
2006,10
2007,6
2008,35
2009,1
2010,3
2011,12
2012,17
2013,7
2014,5
2015,120
2016,174
2017,184
2018,106
2019,81
2020,5
