Date,Count
2001,9
2002,16
2003,9
2004,15
2005,15
2006,9
2007,15
2008,13
2009,10
2010,7
2011,4
2012,8
2013,6
2014,6
2015,11
2016,13
2017,11
2018,14
2019,6
2020,3
