Date,Count
2001,85
2002,71
2003,73
2004,44
2005,49
2006,106
2007,79
2008,99
2009,83
2010,77
2011,109
2012,68
2013,46
2014,90
2015,82
2016,84
2017,68
2018,53
2019,27
2020,13
