YEAR,Total
2001,174
2002,120
2003,112
2004,138
2005,128
2006,188
2007,202
2008,239
2009,284
2010,286
2011,353
2012,375
2013,424
2014,571
2015,846
2016,1047
2017,1130
2018,1658
2019,2171
2020,1825
2024,12
