,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
33667,PETRO-TECH ENVIRONMENTAL,12,5.0,http://echo.epa.gov/detailed-facility-report?fid=110031359376,29.72297,-95.27538
74107,HOUSTON PLATING,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000463757,29.65893,-95.24859
22339,LINDON MANUFACTURING & LABORATORY,12,,http://echo.epa.gov/detailed-facility-report?fid=110001132480,29.78795,-95.28975
25596,U.S. OIL RECOVERY,12,,http://echo.epa.gov/detailed-facility-report?fid=110015665528,29.718389,-95.221528
26641,XPO LOGISTICS FREIGHT LHO,12,,http://echo.epa.gov/detailed-facility-report?fid=110039586310,29.76461,-95.30429
32025,SUPERIOR CHROME PLATING,12,,http://echo.epa.gov/detailed-facility-report?fid=110001876435,29.78572,-95.2814
36440,EXXON CHEMICAL AMERICAS HOUSTON CHEMICAL PLANT,12,,http://echo.epa.gov/detailed-facility-report?fid=110000750143,29.75141,-95.28133
47197,PASADENA REFINING SYSTEM INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000462703,29.723889,-95.208888
48831,"TURBINE CHROME SERVICES, INC.",12,,http://echo.epa.gov/detailed-facility-report?fid=110001876275,29.7423,-95.28923
52886,AGRIFOS FERTILIZER L.L.C.,12,,http://echo.epa.gov/detailed-facility-report?fid=110056955521,29.740306,-95.198444
87066,EASTEX FOREST PRODUCTS INCORPORATED,12,,http://echo.epa.gov/detailed-facility-report?fid=110002343982,29.88508,-95.30931
93939,MCC RECYCLING,12,,http://echo.epa.gov/detailed-facility-report?fid=110038312821,29.70981,-95.22001
103106,SCHUMACHER-DIXIE POLK ST,12,,http://echo.epa.gov/detailed-facility-report?fid=110000769794,29.73291,-95.31595
24915,OROURKE AND SELECT MCCARTY,11,,http://echo.epa.gov/detailed-facility-report?fid=110005128325,29.78681,-95.28045
91956,PASADENA COGENERATION,7,,http://echo.epa.gov/detailed-facility-report?fid=110000505481,29.726111,-95.176389
73179,SOUTHEASTERN FREIGHT LINES HOUSTON,6,1.0,http://echo.epa.gov/detailed-facility-report?fid=110034982419,29.84476,-95.35912
18114,PREVENTIVE PREDICTIVE MAINTENANCE NCE SER,6,,http://echo.epa.gov/detailed-facility-report?fid=110011819210,29.665842,-95.247894
25008,ALX INDUSTRIES,5,1.0,http://echo.epa.gov/detailed-facility-report?fid=110054869344,29.6795,-95.14411
17854,GULF REDUCTION CORP METAL DIV,5,,http://echo.epa.gov/detailed-facility-report?fid=110064203632,29.74775,-95.31226
49606,PASADENA PLANT,5,,http://echo.epa.gov/detailed-facility-report?fid=110043799958,29.716191,-95.194361
