Year,Violations
2001,11
2002,14
2003,19
2004,27
2005,75
2006,90
2007,106
2008,111
2009,110
2010,53
2011,94
2012,80
2013,49
2014,51
2015,65
2016,87
2017,150
2018,81
2019,158
2020,244
