YEAR,Total
2001,191
2002,231
2003,185
2004,122
2005,78
2006,112
2007,78
2008,212
2009,279
2010,215
2011,216
2012,247
2013,229
2014,312
2015,364
2016,383
2017,559
2018,938
2019,1029
2020,1316
2021,4
