Year,Violations
2001,0
2002,0
2003,0
2004,0
2005,2
2006,3
2007,3
2008,20
2009,9
2010,69
2011,199
2012,228
2013,308
2014,348
2015,974
2016,1193
2017,1159
2018,1321
2019,1835
2020,1642
