YEAR,Total
2001,193
2002,340
2003,637
2004,1013
2005,1369
2006,1657
2007,1895
2008,1979
2009,1553
2010,1798
2011,1364
2012,1135
2013,1346
2014,1390
2015,1619
2016,2168
2017,2054
2018,2164
2019,1845
2020,1462
2021,7
