YEAR,Total
2001,16
2002,24
2003,21
2004,48
2005,40
2006,29
2007,32
2008,19
2009,16
2010,21
2011,20
2012,26
2013,11
2014,6
2015,39
2016,87
2017,42
2018,93
2019,168
2020,152
