YEAR,Total
2001,4
2002,10
2003,48
2004,30
2005,42
2006,30
2007,19
2008,29
2009,28
2010,57
2011,45
2012,12
2013,25
2014,56
2015,57
2016,61
2017,23
2018,82
2019,148
2020,121
