YEAR,Total
2001,10
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,37
2012,42
2013,50
2014,52
2015,54
2016,59
2017,225
2018,569
2019,930
2020,1073
