YEAR,Total
2001,299
2002,414
2003,338
2004,466
2005,786
2006,831
2007,994
2008,833
2009,936
2010,1153
2011,1074
2012,1028
2013,897
2014,1073
2015,1174
2016,1166
2017,1164
2018,1167
2019,1249
2020,1070
