YEAR,Total
2001,130
2002,150
2003,200
2004,204
2005,219
2006,258
2007,230
2008,197
2009,154
2010,172
2011,145
2012,113
2013,118
2014,146
2015,145
2016,150
2017,111
2018,153
2019,191
2020,72
