Date,Sum
2010,392618781.51064694
2011,454399386.5906877
2012,442925707.18954754
2013,459130154.228098
2014,462813780.2790405
2015,451901738.6311646
2016,480046975.93956
2017,478737495.1078925
2018,491971435.92232096
