Year,Violations
2001,89
2002,72
2003,58
2004,88
2005,107
2006,102
2007,151
2008,123
2009,122
2010,78
2011,139
2012,90
2013,58
2014,68
2015,57
2016,94
2017,108
2018,104
2019,155
2020,175
