YEAR,Total
2001,100
2002,56
2003,61
2004,72
2005,97
2006,29
2007,33
2008,339
2009,370
2010,489
2011,272
2012,240
2013,322
2014,292
2015,172
2016,338
2017,398
2018,835
2019,1200
2020,1294
