Date,Count
2001,86
2002,68
2003,88
2004,84
2005,93
2006,81
2007,62
2008,34
2009,50
2010,63
2011,140
2012,119
2013,90
2014,82
2015,43
2016,36
2017,39
2018,36
2019,39
2020,32
