Program,State,CD,Facilities,Percent
CAA,LA,,45,0.5092225868507413
CWA,LA,,3977,26.970025769700257
RCRA,LA,,231,1.3316423589093214
CAA,LA,4,4,0.9708737864077669
CWA,LA,4,321,28.686327077747993
RCRA,LA,4,15,0.7396449704142012
