YEAR,Total
2001,30
2002,31
2003,29
2004,37
2005,45
2006,56
2007,66
2008,26
2009,39
2010,27
2011,19
2012,22
2013,19
2014,42
2015,12
2016,39
2017,54
2018,149
2019,126
2020,122
