YEAR,Total
2001,458
2002,585
2003,613
2004,672
2005,730
2006,647
2007,644
2008,700
2009,746
2010,735
2011,703
2012,527
2013,413
2014,429
2015,596
2016,576
2017,570
2018,562
2019,682
2020,333
