YEAR,Total
2001,252
2002,272
2003,161
2004,111
2005,156
2006,139
2007,148
2008,201
2009,333
2010,478
2011,432
2012,449
2013,558
2014,500
2015,484
2016,1698
2017,1943
2018,2163
2019,2101
2020,1733
