Date,Count
2001,9
2002,13
2003,1
2004,11
2005,2
2006,7
2007,3
2008,10
2009,12
2010,0
2011,8
2012,5
2013,1
2014,3
2015,0
2016,2
2017,3
2018,7
2019,13
2020,1
