Date,Count
2001,656
2002,698
2003,697
2004,615
2005,681
2006,565
2007,776
2008,610
2009,746
2010,656
2011,717
2012,825
2013,1007
2014,941
2015,752
2016,622
2017,702
2018,723
2019,730
2020,495
