Program,State,CD,Facilities,Percent
CAA,PA,,152,1.7167381974248928
CWA,PA,,2686,13.789208891626881
RCRA,PA,,120,0.523354703650399
CAA,PA,8,10,2.0491803278688523
CWA,PA,8,164,18.657565415244594
RCRA,PA,8,10,0.7352941176470588
