Year,Violations
2001,1
2002,0
2003,0
2004,0
2005,0
2006,5
2007,4
2008,3
2009,1
2010,2
2011,0
2012,5
2013,0
2014,2
2015,6
2016,0
2017,4
2018,1
2019,3
2020,2
