Year,Violations
2001,34
2002,46
2003,51
2004,50
2005,55
2006,44
2007,66
2008,59
2009,55
2010,46
2011,45
2012,78
2013,73
2014,77
2015,61
2016,49
2017,49
2018,71
2019,56
2020,31
