YEAR,Total
2001,14
2002,27
2003,32
2004,26
2005,36
2006,49
2007,40
2008,38
2009,56
2010,28
2011,24
2012,44
2013,53
2014,46
2015,87
2016,98
2017,154
2018,306
2019,302
2020,221
