Year,Violations
2001,1205
2002,929
2003,1231
2004,626
2005,658
2006,472
2007,607
2008,1860
2009,2684
2010,3252
2011,2420
2012,1696
2013,2452
2014,2099
2015,2307
2016,3027
2017,4268
2018,9713
2019,11981
2020,15154
2021,52
