Date,Amount,Count
2001,55930.0,38
2002,231000.0,31
2003,109000.0,26
2004,21000.0,21
2005,332200.0,39
2006,65431.5,21
2007,124924.0,18
2008,57225.0,29
2009,36000.0,14
2010,18500.0,12
2011,8279400.0,16
2012,16250.0,16
2013,217700.0,26
2014,50464.729999999996,30
2015,91170.0,12
2016,180951.7,14
2017,40266.92,22
2018,186194.0,21
2019,69201.63,19
2020,76198.0,7
