Year,Violations
2001,275
2002,286
2003,260
2004,164
2005,183
2006,234
2007,387
2008,405
2009,424
2010,343
2011,364
2012,244
2013,273
2014,263
2015,324
2016,371
2017,415
2018,434
2019,466
2020,477
