YEAR,Total
2001,235
2002,298
2003,283
2004,582
2005,674
2006,698
2007,723
2008,962
2009,1179
2010,1128
2011,2173
2012,3100
2013,2600
2014,1928
2015,691
2016,887
2017,1056
2018,1016
2019,864
2020,657
2021,2
