,FAC_NAME,noncomp_count,RCRA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
36012,VOGUE-SWIFT CLEANERS INC,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110004696213,39.41309,-81.45015
501,ECOLOGICAL SERVICES INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110042042241,40.82725,-80.51895999999998
8244,AMERICAN STEEL FOUNDRIES SEBRING,12,,http://echo.epa.gov/detailed-facility-report?fid=110001146787,40.914444,-81.041667
16906,SOLVAY SPECIALTY POLYMERS USA LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110038496712,39.370495,-81.51530600000002
18187,YONGGONG LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000701606,40.8347,-80.5244
19544,RG STEEL WHEELING LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000384913,40.102121,-80.712329
24076,AK STEEL CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110000748656,40.03232,-81.59997
30983,UNION CARBIDE CORP,12,,http://echo.epa.gov/detailed-facility-report?fid=110007706642,39.366667,-81.516667
32256,HARRISON CO GARAGE FORMER STORAGE YARD,12,,http://echo.epa.gov/detailed-facility-report?fid=110032751163,40.284484,-81.00007099999998
40137,ZEE TECH WAREHOUSING AKA ROYAL SEBRING PROPERTIES; SEBRING CHINA,12,,http://echo.epa.gov/detailed-facility-report?fid=110046261754,40.91934000000001,-81.01895999999998
46637,DYER BROTHERS CO INC,12,,http://echo.epa.gov/detailed-facility-report?fid=110001103840,38.77896,-82.29685
53469,SALEM LOGISTICS LLC,12,,http://echo.epa.gov/detailed-facility-report?fid=110000389758,40.892471,-80.856837
47661,SEBRING INDUSTRIAL PLATING CO,9,1.0,http://echo.epa.gov/detailed-facility-report?fid=110004698337,40.91999000000001,-81.028
33203,SKYE METAL RECOVERY INC,8,,http://echo.epa.gov/detailed-facility-report?fid=110056293309,39.348249,-81.55179
56706,CAPITOL MANUFACTURING LANSING FACILITY,4,,http://echo.epa.gov/detailed-facility-report?fid=110000384897,40.069057,-80.79942199999998
3845,HERITAGE-WTI INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110027242320,40.631622,-80.54632
23491,SIX RECYCLING,3,,http://echo.epa.gov/detailed-facility-report?fid=110022529824,40.62969,-80.55474
38065,AMG VANADIUM INC,3,,http://echo.epa.gov/detailed-facility-report?fid=110000591583,39.9875,-81.56277800000002
55837,STEUBENVILLE TRUCK CENTER,2,2.0,http://echo.epa.gov/detailed-facility-report?fid=110069284170,40.35757,-80.61994
40093,ORMET PRIMARY ALUMINUM CORP,2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110056973333,39.705,-80.841669
