Date,Count
2001,4
2002,4
2003,1
2004,11
2005,2
2006,2
2007,9
2008,12
2009,8
2010,2
2011,14
2012,4
2013,5
2014,8
2015,9
2016,4
2017,2
2018,0
2019,16
