YEAR,Total
2001,941
2002,969
2003,1152
2004,1451
2005,1946
2006,2142
2007,2261
2008,2419
2009,2507
2010,2429
2011,3622
2012,3884
2013,4159
2014,3254
2015,1975
2016,1622
2017,1584
2018,1751
2019,2215
2020,1787
2021,12
