YEAR,Total
2001,26
2002,39
2003,41
2004,69
2005,56
2006,95
2007,115
2008,202
2009,130
2010,81
2011,58
2012,53
2013,74
2014,137
2015,85
2016,73
2017,53
2018,40
2019,51
2020,26
