Date,Count
2001,7650
2002,8440
2003,8027
2004,7742
2005,8199
2006,8634
2007,8668
2008,8238
2009,7497
2010,6769
2011,6975
2012,7247
2013,7419
2014,7012
2015,6692
2016,7010
2017,7226
2018,7012
2019,7223
2020,5660
