YEAR,Total
2001,344
2002,378
2003,388
2004,553
2005,749
2006,943
2007,1327
2008,1550
2009,1726
2010,1584
2011,1886
2012,1808
2013,2282
2014,2113
2015,1941
2016,2601
2017,3645
2018,4321
2019,4985
2020,3764
