Date,Count
2001,70
2002,109
2003,136
2004,71
2005,62
2006,122
2007,103
2008,71
2009,150
2010,107
2011,64
2012,30
2013,45
2014,156
2015,133
2016,87
2017,76
2018,61
2019,81
2020,32
