Year,Violations
2001,90
2002,92
2003,78
2004,141
2005,331
2006,624
2007,743
2008,791
2009,692
2010,614
2011,600
2012,649
2013,576
2014,559
2015,733
2016,707
2017,730
2018,688
2019,693
2020,495
