YEAR,Total
2001,2200
2002,2729
2003,2981
2004,3796
2005,5052
2006,6748
2007,6373
2008,7096
2009,7076
2010,6806
2011,7378
2012,7992
2013,9189
2014,11510
2015,19206
2016,24508
2017,20488
2018,18974
2019,18758
2020,13777
2021,18
