Year,Violations
2001,286
2002,141
2003,66
2004,38
2005,38
2006,33
2007,69
2008,76
2009,84
2010,107
2011,134
2012,207
2013,161
2014,138
2015,95
2016,108
2017,90
2018,125
2019,136
2020,190
