Year,Violations
2001,3017
2002,3454
2003,3843
2004,4220
2005,5123
2006,7119
2007,7739
2008,9817
2009,14245
2010,18141
2011,21715
2012,27516
2013,26710
2014,28002
2015,30752
2016,27616
2017,27930
2018,29664
2019,32513
2020,26158
2021,103
