Date,Count
2001,16
2002,30
2003,44
2004,54
2005,78
2006,81
2007,70
2008,64
2009,58
2010,47
2011,54
2012,26
2013,33
2014,28
2015,26
2016,16
2017,28
2018,33
2019,11
2020,4
