YEAR,Total
2001,0
2002,0
2003,0
2004,0
2005,185
2006,479
2007,391
2008,387
2009,366
2010,523
2011,661
2012,675
2013,679
2014,812
2015,769
2016,516
2017,479
2018,355
2019,296
2020,258
