YEAR,Total
2001,12
2002,12
2003,12
2004,24
2005,47
2006,171
2007,178
2008,249
2009,162
2010,166
2011,239
2012,255
2013,292
2014,322
2015,272
2016,414
2017,421
2018,391
2019,428
2020,349
2021,3
